N iter1 iter2 matriz
211 7.5e-05 4.7e-05 0.000612
212 6.4e-05 4.8e-05 0.000598
213 6.3e-05 4.8e-05 0.000596
214 6.3e-05 4.8e-05 0.000602
215 6.4e-05 4.9e-05 0.000603
216 6.3e-05 4.9e-05 0.00061
217 6.4e-05 4.9e-05 0.000611
218 6.5e-05 4.9e-05 0.000614
219 6.4e-05 4.9e-05 0.000614
220 6.5e-05 5e-05 0.000615
221 6.5e-05 5e-05 0.000619
222 6.9e-05 5e-05 0.000621
223 6.5e-05 5e-05 0.000629
224 6.6e-05 5e-05 0.000629
225 6.6e-05 5.1e-05 0.000632
226 6.7e-05 5.1e-05 0.000636
227 6.7e-05 5.1e-05 0.000644
228 6.8e-05 5.1e-05 0.000641
229 6.7e-05 5.2e-05 0.000641
230 6.8e-05 5.2e-05 0.00065
231 6.8e-05 5.2e-05 0.000648
232 6.8e-05 5.2e-05 0.000655
233 6.9e-05 5.3e-05 0.00067
234 6.9e-05 5.3e-05 0.000655
235 6.8e-05 5.3e-05 0.000662
236 6.9e-05 5.3e-05 0.000661
237 6.9e-05 5.3e-05 0.000668
238 7e-05 5.3e-05 0.000666
239 7e-05 5.4e-05 0.000672
240 7e-05 5.4e-05 0.000673
241 7.1e-05 5.4e-05 0.00068
242 7.1e-05 5.4e-05 0.000685
243 7.2e-05 5.5e-05 0.000683
244 7.1e-05 5.5e-05 0.000688
245 7.2e-05 5.6e-05 0.000688
246 7.2e-05 5.5e-05 0.000691
247 7.2e-05 5.5e-05 0.000697
248 7.2e-05 5.6e-05 0.000693
249 7.3e-05 5.6e-05 0.000698
250 7.4e-05 5.6e-05 0.000701
251 7.4e-05 5.7e-05 0.000706
252 7.8e-05 5.7e-05 0.000707
253 8.2e-05 5.8e-05 0.00071
254 7.5e-05 5.8e-05 0.000735
255 7.5e-05 5.8e-05 0.00072
256 8.3e-05 5.7e-05 0.000732
257 7.6e-05 5.7e-05 0.000724
258 7.6e-05 5.8e-05 0.000724
259 7.6e-05 5.8e-05 0.000727
260 7.7e-05 5.9e-05 0.000728
261 7.7e-05 5.9e-05 0.000738
262 7.8e-05 5.9e-05 0.000738
263 7.8e-05 6e-05 0.000737
264 7.7e-05 5.9e-05 0.000738
265 7.7e-05 6e-05 0.000757
266 7.9e-05 5.9e-05 0.000747
267 7.8e-05 6e-05 0.000752
268 8.2e-05 6e-05 0.000752
269 7.9e-05 6.1e-05 0.000758
270 7.9e-05 6e-05 0.000768
271 8e-05 6.1e-05 0.00078
272 8.1e-05 6.1e-05 0.00077
273 8.1e-05 6.1e-05 0.000766
274 8e-05 6.1e-05 0.000779
275 8.1e-05 6.1e-05 0.000769
276 8e-05 6.2e-05 0.00078
277 8.2e-05 6.3e-05 0.000781
278 8.1e-05 6.2e-05 0.000787
279 8.2e-05 6.2e-05 0.00078
280 8.2e-05 6.3e-05 0.000787
281 8.6e-05 6.3e-05 0.000787
282 8.3e-05 6.4e-05 0.000796
283 8.7e-05 6.6e-05 0.000802
284 8.3e-05 6.4e-05 0.000803
285 8.3e-05 6.4e-05 0.000806
286 8.4e-05 6.4e-05 0.000806
287 8.3e-05 6.5e-05 0.00082
288 8.4e-05 6.4e-05 0.000822
289 8.5e-05 6.5e-05 0.000811
290 8.5e-05 6.6e-05 0.000817
291 8.6e-05 6.6e-05 0.000823
292 8.5e-05 6.5e-05 0.000821
293 8.5e-05 6.6e-05 0.000819
294 8.5e-05 6.6e-05 0.000826
295 8.7e-05 6.6e-05 0.000832
296 8.7e-05 6.7e-05 0.000834
297 8.6e-05 6.7e-05 0.000837
298 8.7e-05 6.7e-05 0.000835
299 8.8e-05 6.8e-05 0.00084
300 8.8e-05 6.7e-05 0.000841
301 8.7e-05 6.7e-05 0.000844
302 8.8e-05 6.8e-05 0.000847
303 8.8e-05 6.8e-05 0.000864
304 8.9e-05 6.8e-05 0.000868
305 9e-05 6.8e-05 0.000862
306 8.9e-05 6.9e-05 0.000872
307 9e-05 7.3e-05 0.000873
308 9e-05 6.9e-05 0.000864
309 9e-05 7e-05 0.000866
310 9e-05 7e-05 0.000875
311 9.1e-05 7e-05 0.000879
312 9.1e-05 7.1e-05 0.000876
313 9.1e-05 7e-05 0.000881
314 9.2e-05 7.1e-05 0.000886
315 9.2e-05 7.1e-05 0.000886
316 9.2e-05 7.1e-05 0.000885
317 9.1e-05 7.1e-05 0.000891
318 9.2e-05 7.1e-05 0.000897
319 9.2e-05 7.1e-05 0.0009
320 0.000102 7.5e-05 0.000898
321 9.4e-05 7.2e-05 0.000901
322 9.4e-05 7.3e-05 0.000909
323 9.4e-05 7.2e-05 0.000906
324 9.4e-05 7.3e-05 0.000909
325 9.4e-05 7.3e-05 0.000915
326 9.5e-05 7.4e-05 0.000915
327 9.4e-05 7.3e-05 0.000918
328 9.5e-05 7.4e-05 0.000921
329 0.000102 7.4e-05 0.000926
330 9.6e-05 7.4e-05 0.000923
331 9.6e-05 7.4e-05 0.000926
332 9.6e-05 7.5e-05 0.000933
333 9.6e-05 7.5e-05 0.000937
334 9.8e-05 7.5e-05 0.000953
335 9.8e-05 7.6e-05 0.000937
336 9.7e-05 7.5e-05 0.000946
337 9.8e-05 7.5e-05 0.000947
338 9.7e-05 7.6e-05 0.000949
339 9.8e-05 7.7e-05 0.000954
340 9.8e-05 7.6e-05 0.000961
341 9.9e-05 7.7e-05 0.000958
342 9.9e-05 7.7e-05 0.000959
343 9.9e-05 7.7e-05 0.000969
344 0.0001 7.8e-05 0.000967
345 0.0001 7.7e-05 0.000969
346 0.000101 7.8e-05 0.000975
347 0.000101 7.8e-05 0.000983
348 0.0001 7.8e-05 0.000994
349 0.000101 7.8e-05 0.000978
350 0.000101 7.8e-05 0.000985
351 0.000102 7.9e-05 0.000984
352 0.000101 7.9e-05 0.000993
353 0.000102 7.9e-05 0.000991
354 0.000103 7.9e-05 0.000995
